Sample,t,h,Fe,S-2,NO3-,NO2-,SO4-2,pH,EC
1,0.21875,5.25,,,,0,,,
2,0.23958333333333334,5.75,,,,,1.9673985009369144,,
3,0.2604166666666667,6.25,,,,0,,,
4,0.28125,6.75,,,0.016598688168193158,,2.1260420570476786,,
5,0.3177083333333333,7.625,0.0012831023350693112,,,,,,
6,0.3541666666666667,8.5,,,,0,,,
7,0.390625,9.375,,0.009348939830223254,,,,,
8,0.4270833333333333,10.25,,,,1.8381461870869025,,6.81,772
9,0.4479166666666667,10.75,,,0.6940806291115702,,1.8337143452009161,,
10,0.46875,11.25,,,,1.1951729950661756,,,
11,0.4895833333333333,11.75,,,0.9172984715724081,,1.9642410993129293,,
12,0.5260416666666666,12.625,0,,,,,,
13,0.5625,13.5,,,,4.195714557829565,,6.68,763
14,0.5989583333333334,14.375,,0.007232198736587799,,,,,
15,0.6354166666666666,15.25,,,,5.053012147190534,,,
16,0.65625,15.75,,,1.187772256708744,,2.190011451176348,,
17,0.6770833333333334,16.25,,,,2.856187074453052,,,
18,0.6979166666666666,16.75,,,1.1538459057268056,,1.9543795544451383,,
19,0.734375,17.625,0.004524624023665479,,,,,,
20,0.7708333333333334,18.5,,,,6.9283506239176536,,6.15,715
21,0.8072916666666666,19.375,,0.011465680923858705,,,,,
22,0.84375,20.25,,,,6.338958531231987,,,
23,0.8645833333333334,20.75,,,1.1536330193258921,,2.0312075785967103,,
24,0.8854166666666666,21.25,,,,2.6418626771128104,,,
25,0.90625,21.75,,,1.1774569429190274,,2.0462773266708307,,
26,0.9427083333333334,22.625,0,,,,,,
27,0.9791666666666666,23.5,,,,4.46362005450487,,6.32,745
28,1.015625,24.375,,0.016404743475674766,,,,,
29,1.0520833333333333,25.25,,,,2.588281577777749,,,
30,1.0729166666666667,25.75,,,1.1392873789006999,,1.855807828440558,,
31,1.09375,26.25,,,,7.4641616172682586,,,
32,1.1145833333333333,26.75,,,1.089047801060884,,1.6821132625442432,,
33,1.1510416666666667,27.625,0.00148569744060657,,,,,,
34,1.1875,28.5,,,,6.9283506239176536,,6.55,783
35,1.2239583333333333,29.375,,0.01358242201749416,,,,,
36,1.2638888888888888,30.333333333333332,,,,7.839229312613681,,,
37,1.28125,30.75,,,1.1726815138803546,,1.8772007078909017,,
38,1.3020833333333333,31.25,,,,7.571323815938379,,,
39,1.3229166666666667,31.75,,,1.0859512715930515,,1.645757859671039,,
40,1.359375,32.625,0.0030389265830589084,,,,,,
41,1.3958333333333333,33.5,,,,8.214297007959106,,,
42,1.4322916666666667,34.375,,0.03686657404748415,,,,,
43,1.46875,35.25,,,,9.178756795990195,,6.97,765
44,1.4895833333333333,35.75,,,1.2426888842655985,,1.9811159691859255,,
45,1.5104166666666667,36.25,,,,9.232337895325255,,,
46,1.53125,36.75,,,1.336781447917826,,2.296332500520508,,
47,1.5677083333333333,37.625,0,,,,,,
48,1.6041666666666667,38.5,,,,9.018013497985013,,7.66,454
49,1.640625,39.375,,0.026282868579306878,,,,,
50,1.6770833333333333,40.25,,,,9.125175696655134,,,
51,1.6979166666666667,40.75,,,1.1743200940570826,,1.8112179887570268,,
52,1.71875,41.25,,,,10.357540981361527,,,
53,1.7395833333333333,41.75,,,1.3499013787620011,,1.8746179471163855,,
54,1.7760416666666667,42.625,0.007631082308570145,,,,,,
55,1.8125,43.5,,,,9.7145677893408,,9.24,464
56,1.8489583333333333,44.375,,0.03263309186021324,,,,,
57,1.8854166666666667,45.25,,,,11.000514173382255,,,
58,1.90625,45.75,,,1.1504961704639471,,1.8235186341869665,,
59,1.9270833333333333,46.25,,,,10.62544647803683,,,
60,1.9479166666666667,46.75,,,1.253115479583065,,1.9973360399750157,,
61,1.984375,47.625,0.001553229142452329,,,,,,
62,2.2743055555555554,54.583333333333336,,,,14.48328563016119,,,
63,2.310763888888889,55.458333333333336,0.0547682101969061,,,,,,
64,2.3628472222222223,56.708333333333336,,0.0982520657629123,,,,,
65,2.392361111111111,57.416666666666664,,,1.1357941065948014,,1.9326368936081615,7.5,917
66,2.5520833333333335,61.25,,,,17.5909893915947,,,
67,2.5885416666666665,62.125,0.0035791801978249343,,,,,,
68,2.640625,63.375,,0.012876841652949009,,,,,
69,2.6770833333333335,64.25,,,1.073057129355906,,1.857060170726629,10.47,883
70,2.8645833333333335,68.75,,,,18.662611378295907,,,
71,2.9010416666666665,69.625,0.014924506107911524,,,,,,
72,2.953125,70.875,,0.010760100559313555,,,,,
73,2.9895833333333335,71.75,,,1.1966344595346496,,1.8627482823235477,7.55,729
74,3.2604166666666665,78.25,,,,20.109301060342545,,,
75,3.296875,79.125,0,,,,,,
76,3.359375,80.625,,0.02557728821476173,,,,,
77,3.40625,81.75,,,1.1371488382369779,,1.904163023110556,7.37,832
78,3.5520833333333335,85.25,,,,23.109842623105934,,,
79,3.5885416666666665,86.125,0,,,,,,
80,3.640625,87.375,,0.015699163111129615,,,,,
81,3.6770833333333335,88.25,,,1.153610440465189,,1.7610493441599002,7.88,770
82,3.8645833333333335,92.75,,,,,,,
83,3.9010416666666665,93.625,0.009521969960251241,,,,,,
84,3.953125,94.875,,0.019227064933855367,,,,,
85,3.9895833333333335,95.75,,,1.1933814908176612,,2.0499177597335,7.33,881
86,4.302083333333333,103.25,,,,,,,
87,4.338541666666667,104.125,0,,,,,,
88,4.380208333333333,105.125,,0.016404743475674766,,,,,
89,4.40625,105.75,,,1.1601970166873907,,1.8862814907349572,8.88,792
90,4.552083333333333,109.25,,,,,,,
91,4.588541666666667,110.125,0,,,,,,
92,4.640625,111.375,,0.00793777910113295,,,,,
93,4.677083333333333,112.25,,,1.1718977048588095,,1.8569414948990215,7.88,785
94,4.864583333333333,116.75,,,,,,,
95,4.901041666666667,117.625,0,,,,,,
96,4.953125,118.875,,0,,,,,
97,4.989583333333333,119.75,,,1.1786826525000444,,1.9888371850926503,7.53,783
98,5.260416666666667,126.25,,,,,,,
99,5.296875,127.125,0,,,,,,
100,5.359375,128.625,,0,,,,,
101,5.40625,129.75,,,1.1470367664491032,,1.8391609410784926,7.5,863
102,5.552083333333333,133.25,,,,,,,
103,5.588541666666667,134.125,0,,,,,,
104,5.640625,135.375,,0,,,,,
105,5.677083333333333,136.25,,,1.1512267578852637,,1.8813751821778053,7.82,742
106,5.864583333333333,140.75,,,,,,,
107,5.901041666666667,141.625,0,,,,,,
108,5.953125,142.875,,0,,,,,
109,5.989583333333333,143.75,,,1.1501107170562326,,1.9432646262752444,7.41,562
110,6.302083333333333,151.25,,,,,,,
111,6.328125,151.875,0,,,,,,
112,6.369791666666667,152.875,,0.01852148456931022,,,,,
113,6.40625,153.75,,,0.8659396273520319,,1.6439995835935872,7.4,557
114,6.552083333333333,157.25,,,,,,,
115,6.588541666666667,158.125,0,,,,,,
116,6.640625,159.375,,0.012171261288403859,,,,,
117,6.677083333333333,160.25,,,1.1250933393973703,,1.7304767853424943,7.72,811
118,6.864583333333333,164.75,,,,,,,
119,6.901041666666667,165.625,0,,,,,,
120,6.953125,166.875,,0,,,,,
121,6.989583333333333,167.75,,,1.156845668648768,,1.9321923797626483,7.33,738
122,7.284027777777778,174.81666666666666,,,,,,,
123,7.330902777777778,175.94166666666666,0,,,,,,
124,7.373263888888889,176.95833333333334,,0.0015875558202265902,,,,,
125,7.399305555555555,177.58333333333334,,,0.9841786697502939,,1.864707474495107,7.64,853
