biomass.t,biomass.c,o2.t,o2.c,no3.t,no3.c,no2.t,no2.c
0.238095238,16.39344262,0.238095238,721.3114754,0.238095238,397.5409836,0.238095238,8.196721311
1.19047619,8.196721311,1.031746032,721.3114754,0.952380952,393.442623,1.031746032,8.196721311
2.063492063,8.196721311,1.984126984,725.4098361,1.984126984,397.5409836,1.984126984,8.196721311
3.015873016,24.59016393,3.015873016,713.1147541,2.936507937,397.5409836,3.015873016,8.196721311
4.047619048,12.29508197,4.047619048,700.8196721,4.047619048,397.5409836,4.047619048,16.39344262
5,24.59016393,5,692.6229508,5,393.442623,5,4.098360656
6.111111111,24.59016393,5.952380952,647.5409836,5.952380952,393.442623,5.952380952,8.196721311
7.222222222,49.18032787,6.984126984,635.2459016,6.984126984,385.2459016,7.063492063,8.196721311
8.015873016,57.37704918,7.936507937,614.7540984,8.015873016,393.442623,8.174603175,8.196721311
9.047619048,73.7704918,8.968253968,565.5737705,8.968253968,393.442623,8.968253968,8.196721311
10,86.06557377,9.920634921,512.295082,10.07936508,385.2459016,10,8.196721311
10.95238095,122.9508197,11.03174603,454.9180328,11.03174603,385.2459016,11.03174603,8.196721311
11.58730159,127.0491803,11.66666667,413.9344262,11.98412698,385.2459016,11.98412698,8.196721311
11.98412698,147.5409836,12.14285714,377.0491803,12.53968254,393.442623,13.01587302,8.196721311
12.46031746,176.2295082,12.46031746,303.2786885,13.0952381,393.442623,14.04761905,8.196721311
13.01587302,200.8196721,13.0952381,254.0983607,13.96825397,393.442623,15.15873016,20.49180328
13.96825397,254.0983607,14.04761905,90.16393443,15,397.5409836,16.11111111,20.49180328
15,323.7704918,15,24.59016393,16.11111111,393.442623,16.82539683,40.98360656
16.11111111,389.3442623,16.11111111,4.098360656,16.98412698,368.852459,18.01587302,57.37704918
17.06349206,516.3934426,16.98412698,4.098360656,18.0952381,336.0655738,19.12698413,94.26229508
18.0952381,622.9508197,18.01587302,8.196721311,18.96825397,286.8852459,20.07936508,155.7377049
18.0952381,622.9508197,19.12698413,8.196721311,20,225.4098361,20.95238095,209.0163934
19.04761905,717.2131148,20.15873016,8.196721311,20.87301587,163.9344262,21.50793651,254.0983607
20.07936508,819.6721311,20.55555556,8.196721311,21.50793651,122.9508197,22.22222222,319.6721311
20.47619048,864.7540984,21.19047619,12.29508197,22.3015873,57.37704918,22.93650794,331.9672131
20.95238095,901.6393443,21.74603175,4.098360656,23.0952381,32.78688525,23.73015873,327.8688525
21.50793651,942.6229508,22.3015873,4.098360656,23.88888889,4.098360656,24.52380952,311.4754098
22.22222222,1049.180328,22.77777778,0,24.52380952,8.196721311,25.15873016,295.0819672
22.93650794,1094.262295,23.73015873,0,25.23809524,8.196721311,25.95238095,262.295082
23.73015873,1131.147541,24.36507937,0,25.95238095,4.098360656,26.82539683,245.9016393
24.6031746,1172.131148,25.31746032,8.196721311,26.9047619,8.196721311,27.53968254,209.0163934
25.23809524,1213.114754,26.03174603,8.196721311,27.77777778,8.196721311,28.49206349,176.2295082
26.03174603,1250,26.74603175,8.196721311,28.49206349,4.098360656,31.11111111,8.196721311
26.74603175,1270.491803,27.53968254,0,31.03174603,8.196721311,,
27.53968254,1311.47541,28.57142857,0,,,,
28.49206349,1422.131148,31.03174603,8.196721311,,,,
30.95238095,1594.262295,,,,,,
