column,x,S-2,S-2 r1,S-2 r2
A,1.5,1.5299362637575136,6.2,3.2
A,4.5,22.74548463991361,6.2,3.2
A,7.5,2.6103551716687474,6.2,3.2
A,10.5,0.3765121957648603,6.2,3.2
B,1.5,11.317754201666084,10.3,
B,4.5,2.982487237609648,10.3,
B,7.5,6.106346194433206,10.3,
B,10.5,0.4718835414343989,10.3,
C,1.5,11.308965943283868,10.3,
C,4.5,4.867806623238572,10.3,
C,7.5,34.537120838076206,10.3,
C,10.5,17.55475475196488,10.3,
D,1.5,5.805412437457903,13.100000000000001,5.6
D,4.5,12.950465573484394,13.100000000000001,5.6
D,7.5,4.101190523044491,13.100000000000001,5.6
D,10.5,,13.100000000000001,5.6
E,1.5,3.8056819416974124,13.100000000000001,5.6
E,4.5,5.425722768258623,13.100000000000001,5.6
E,7.5,9.919018576141944,13.100000000000001,5.6
E,10.5,7.410359555488271,13.100000000000001,5.6
